User_ID,Username,Password,Email,Validated,Active,AllowContact,KeyMap,pw_reset_timestamp,pw_reset_secret,KeepPreviousTest
-1,dummy_user,DUMMY_USER_INACCESSIBLE,user@dummy.com,0,1,0,DEFAULT,,,0
1,Mutator,AI_ATTACKER_INACCESSIBLE,codedef_mutator@sheffield.ac.uk,0,1,0,DEFAULT,,,0
2,TestGen,AI_DEFENDER_INACCESSIBLE,codedef_testgen@sheffield.ac.uk,0,1,0,DEFAULT,,,0
3,System Attacker,DUMMY_ATTACKER_INACCESSIBLE,attacker@dummy.com,0,1,0,DEFAULT,,,0
4,System Defender,DUMMY_DEFENDER_INACCESSIBLE,defender@dummy.com,0,1,0,DEFAULT,,,0
5,AI_Attacker,AI_ATTACKER_INACCESSIBLE,aiattacker@dummy.com,0,1,0,DEFAULT,,,0
6,AI_Defender,AI_DEFENDER_INACCESSIBLE,aidefender@dummy.com,0,1,0,DEFAULT,,,0
7,AI_PLAYER,AI_PLAYER_INACCESSIBLE,aiplayer@dummy.com,0,1,0,DEFAULT,,,0
100,admin,$2a$10$61OdlmMfxgdlb.QZT8243en77Htj2Yps1nkC0h.nEAy4Qw2kbhw1G,prott@fim.uni-passau.de,0,1,0,SUBLIME,,,1
101,user,$2a$10$dINzWkCWlpaMb0QpzoAbK.XBDYlm3qJMIkxQ5w/YMzLizK24w6hBm,aa@bb.com,0,1,0,SUBLIME,,,1
102,user2,$2a$10$fyncfnqWPlo727COVE8RhOVKSuN6c/3b2dNc5f2vCJcCemr4FlFiK,a@b.de,0,1,0,DEFAULT,,,0
103,user3,$2a$10$X2b8epYpZjyfgcJQSNV88uz4/U6L1qg8UTCQleIAbT9GuZ24KVlcK,a@c.de,0,1,0,DEFAULT,,,0
104,tmp,$2a$10$ZZKKoJoW6p8UW4Sv9PqXPu0Oi4wf6DIMEwVIHWUcQMFRSdq8.Okay,z@d.de,0,0,0,DEFAULT,,,0
105,tmp2,$2a$10$8TmOsXGk8UHRC7N50IAi0uj4/EKNCHWAVrmnwHA7SwIWne72JskqW,dasd@dsadkpa.dao,0,0,0,DEFAULT,,,0
106,tmp3,$2a$10$hEw7YrSMl3Zc31RZBx3pHu72RSIUG/vurTNsS94hpyGlNRnhiwjYu,dmasidjoia@a.de,0,1,0,DEFAULT,,,0
107,tmp4,$2a$10$Hlpj.VHKM9YBVSJKl7D8X.e9ajDB8BX5z0Kam/DrvwK9ELLqdqHqm,kdasodkapkp@a.de,0,1,0,DEFAULT,,,0
108,user0,$2a$10$dK.9zjZS0586nWoATYiYx.Jjc/VcH18P0Bl4cOXHKDhEqZsjq.5CC,a@ö,0,1,0,DEFAULT,,,0
109,user11,$2a$10$Dnuzif1BQ.P2gXlYuyWtreWQStJgD/EXumQtu7yOuHZeAvHlIxOxe,e@h.de,0,1,0,DEFAULT,,,0
110,user432,$2a$10$J4DU7az7o029bPdcl7N7w.Myaf7SDt5HXtQ8L.5LJ0k5FC.mRreiG,fsa@d,0,1,0,DEFAULT,,,0
111,user83123,$2a$10$QcmW0suI6eq748zdb6fnFusnNtOR9L6LSvVNL2pT51NlMtKihVcIC,r@d,0,1,0,DEFAULT,,,0
112,longpw,$2a$10$HxVgm3QnWtUh8H7OCgN71ekfbV1yQjr6lduCoRqReyKT1fqCs2ljO,3123@dsa.de,0,1,0,DEFAULT,,,0
113,user5,$2a$10$Jf9ZfB6JiC1UCljXJ9Y02OaU72fu6XwlsA1jO28uzp9KcJZ9v2I0O,user5@not.specified,0,0,0,DEFAULT,,,0
114,hAttacker1,$2a$10$IXaXPFzEecCdfcgj/lDcv.dhtwL6OwOtOTCUovTX/9t0DgpoHG9KG,hattacker1@not.specified,0,1,0,DEFAULT,,,0
